Date,TimeBarStart,Ticker,CallPut,Strike,ExpirationDate,OpenTradePrice,HighTradePrice,LowTradePrice,CloseTradePrice,UnderOpenBidPrice,UnderOpenAskPrice,UnderCloseBidPrice,UnderCloseAskPrice,VWAP,Volume,TotalTrades
20200103,10:07:00 AM,SPY,C,325.5,20200103,0.02,0.02,0.02,0.02,322.32,322.33,322.32,322.33,0.02,10,2
20200103,1:04:00 PM,SPY,P,324,20200103,0.66,0.72,0.66,0.71,323.45,323.46,323.41,323.42,0.6939,54,8
20200117,2:59:00 PM,SPY,C,327.5,20200117,4.2,4.21,4.2,4.21,331.69,331.7,331.71,331.72,4.2011,9,3
20200129,10:25:00 AM,SPY,P,320,20200129,0.01,0.01,0.01,0.01,327.08,327.09,327.08,327.09,0.01,3,1
20200129,10:27:00 AM,SPY,P,329,20200129,2,2,2,2,327.17,327.19,327.17,327.19,2,2,1
20200129,10:27:00 AM,SPY,C,326,20200129,1.59,1.65,1.59,1.65,327.08,327.09,327.17,327.19,1.6367,30,5
20200129,10:27:00 AM,SPY,C,327.5,20200129,0.65,0.71,0.65,0.71,327.06,327.07,327.19,327.2,0.6987,23,6
20200129,10:27:00 AM,SPY,C,329.5,20200129,0.09,0.09,0.09,0.09,327.15,327.16,327.15,327.16,0.09,1,1
20200129,10:27:00 AM,SPY,C,329,20200129,0.15,0.16,0.15,0.16,327.09,327.1,327.18,327.19,0.1581,26,10
20200131,11:01:00 AM,SPY,P,327.5,20200131,3.57,3.57,3.57,3.57,323.96,323.97,323.96,323.97,3.57,3,1
20200131,11:01:00 AM,SPY,P,321.5,20200131,0.27,0.27,0.26,0.26,324.03,324.05,324.05,324.07,0.265,2,2
20200131,11:01:00 AM,SPY,P,325,20200131,1.49,1.49,1.43,1.43,323.93,323.94,324,324.02,1.4567,33,8
